,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
0,0.0003395706356293989,PC9.DS8,0.0005,0.0055,0.021,0.021,0.0205,0.015500000000000002
1,0.0012761144508061668,PC9.DS8,0.0005,0.005699999999999999,0.021,0.021,0.0205,0.015300000000000001
2,4.6904469726769535e-05,PC9.DS8,0.0005,0.0059,0.021,0.021,0.0205,0.015100000000000002
3,0.0025000264275057043,PC9.DS8,0.0005,0.0060999999999999995,0.021,0.021,0.0205,0.014900000000000002
4,6.842390955009627e-05,PC9.DS8,0.0005,0.0063,0.021,0.021,0.0205,0.014700000000000001
5,1.0171421403374862e-05,PC9.DS8,0.0005,0.0065,0.021,0.021,0.0205,0.014500000000000002
6,0.0027704450682594036,PC9.DS8,0.0005,0.006699999999999999,0.021,0.021,0.0205,0.014300000000000002
7,0.012630275388557207,PC9.DS8,0.0005,0.0069,0.021,0.021,0.0205,0.014100000000000001
8,1.7339239192997512e-05,PC9.DS8,0.0005,0.0070999999999999995,0.021,0.021,0.0205,0.013900000000000003
9,0.021592941878718075,PC9.DS8,0.0005,0.0073,0.021,0.021,0.0205,0.0137
10,0.00011707193242678977,PC9.DS8,0.0005,0.0075,0.021,0.021,0.0205,0.013500000000000002
11,0.004891778623576278,PC9.DS8,0.0007,0.0055,0.021,0.021,0.020300000000000002,0.015500000000000002
12,0.0001497547725334433,PC9.DS8,0.0007,0.005699999999999999,0.021,0.021,0.020300000000000002,0.015300000000000001
13,0.00043376095177277176,PC9.DS8,0.0007,0.0059,0.021,0.021,0.020300000000000002,0.015100000000000002
14,3.529180214611886e-05,PC9.DS8,0.0007,0.0060999999999999995,0.021,0.021,0.020300000000000002,0.014900000000000002
15,0.0034930698045955353,PC9.DS8,0.0007,0.0063,0.021,0.021,0.020300000000000002,0.014700000000000001
16,0.0005660759721619417,PC9.DS8,0.0007,0.0065,0.021,0.021,0.020300000000000002,0.014500000000000002
17,0.0018952421422556778,PC9.DS8,0.0007,0.006699999999999999,0.021,0.021,0.020300000000000002,0.014300000000000002
18,0.020007501377620644,PC9.DS8,0.0007,0.0069,0.021,0.021,0.020300000000000002,0.014100000000000001
19,0.00027423372811700796,PC9.DS8,0.0007,0.0070999999999999995,0.021,0.021,0.020300000000000002,0.013900000000000003
20,0.003934237130209005,PC9.DS8,0.0007,0.0073,0.021,0.021,0.020300000000000002,0.0137
21,5.061207012631863e-07,PC9.DS8,0.0007,0.0075,0.021,0.021,0.020300000000000002,0.013500000000000002
22,5.206786015359322e-05,PC9.DS8,0.0009,0.0055,0.021,0.021,0.0201,0.015500000000000002
23,0.0028984177973809633,PC9.DS8,0.0009,0.005699999999999999,0.021,0.021,0.0201,0.015300000000000001
24,1.2042124721284936e-05,PC9.DS8,0.0009,0.0059,0.021,0.021,0.0201,0.015100000000000002
25,0.0013529850434116687,PC9.DS8,0.0009,0.0060999999999999995,0.021,0.021,0.0201,0.014900000000000002
26,0.00023534425030998868,PC9.DS8,0.0009,0.0063,0.021,0.021,0.0201,0.014700000000000001
27,0.006298608404951747,PC9.DS8,0.0009,0.0065,0.021,0.021,0.0201,0.014500000000000002
28,0.00010174038383390116,PC9.DS8,0.0009,0.006699999999999999,0.021,0.021,0.0201,0.014300000000000002
29,0.0017010443237224161,PC9.DS8,0.0009,0.0069,0.021,0.021,0.0201,0.014100000000000001
30,0.04316493227680317,PC9.DS8,0.0009,0.0070999999999999995,0.021,0.021,0.0201,0.013900000000000003
31,0.005228498022780432,PC9.DS8,0.0009,0.0073,0.021,0.021,0.0201,0.0137
32,0.02119426527615711,PC9.DS8,0.0009,0.0075,0.021,0.021,0.0201,0.013500000000000002
